Temp (°C): 9.61109 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 0 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 39.6488 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 6.82432 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 72.2372 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 6.82432 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 72.2372 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.0128137 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 26.3 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.0128137 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 25.0852 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -0.0128137 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 25.0852 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 12.5117 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 25.0852 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 12.5117 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 53.0977 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 12.5117 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 35.8054 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 12.5117 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 35.8054 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -3.9829 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -2.65234 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -3.9829 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -2.65234 | Solar Rad. (W/m²): 23.7437 | Grav. Anomaly (mGal): -3.9829 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -48.532 | Solar Rad. (W/m²): 23.7437 | Grav. Anomaly (mGal): -3.9829 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -48.532 | Solar Rad. (W/m²): 23.7437 | Grav. Anomaly (mGal): -9.71703 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -3.90569 | Solar Rad. (W/m²): 23.7437 | Grav. Anomaly (mGal): -9.71703 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.5894 | Solar Rad. (W/m²): 23.7437 | Grav. Anomaly (mGal): -9.71703 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.5894 | Solar Rad. (W/m²): 63.4785 | Grav. Anomaly (mGal): -6.99059 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.5894 | Solar Rad. (W/m²): 63.4785 | Grav. Anomaly (mGal): -6.99059 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.8604 | Solar Rad. (W/m²): 63.4785 | Grav. Anomaly (mGal): -6.99059 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -18.2173 | Solar Rad. (W/m²): 63.4785 | Grav. Anomaly (mGal): -6.99059 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -18.2173 | Solar Rad. (W/m²): 63.4785 | Grav. Anomaly (mGal): 3.49937 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -3.9195 | Solar Rad. (W/m²): 63.4785 | Grav. Anomaly (mGal): 3.49937 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -3.9195 | Solar Rad. (W/m²): 22.5574 | Grav. Anomaly (mGal): 3.49937 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -19.1029 | Solar Rad. (W/m²): 22.5574 | Grav. Anomaly (mGal): 3.49937 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -19.1029 | Solar Rad. (W/m²): 22.5574 | Grav. Anomaly (mGal): -7.79867 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -47.1204 | Solar Rad. (W/m²): 22.5574 | Grav. Anomaly (mGal): -7.79867 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -73.2177 | Solar Rad. (W/m²): 22.5574 | Grav. Anomaly (mGal): -7.79867 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -73.2177 | Solar Rad. (W/m²): 50.6602 | Grav. Anomaly (mGal): 7.14106 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -73.2177 | Solar Rad. (W/m²): 50.6602 | Grav. Anomaly (mGal): 7.14106 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -44.7858 | Solar Rad. (W/m²): 50.6602 | Grav. Anomaly (mGal): 7.14106 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -46.7544 | Solar Rad. (W/m²): 50.6602 | Grav. Anomaly (mGal): 7.14106 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -46.7544 | Solar Rad. (W/m²): 50.6602 | Grav. Anomaly (mGal): 6.47294 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -82.4992 | Solar Rad. (W/m²): 50.6602 | Grav. Anomaly (mGal): 6.47294 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -82.4992 | Solar Rad. (W/m²): 45.7752 | Grav. Anomaly (mGal): 6.47294 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -109.396 | Solar Rad. (W/m²): 45.7752 | Grav. Anomaly (mGal): 6.47294 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -109.396 | Solar Rad. (W/m²): 45.7752 | Grav. Anomaly (mGal): -5.51281 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -102.741 | Solar Rad. (W/m²): 45.7752 | Grav. Anomaly (mGal): -5.51281 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -104.545 | Solar Rad. (W/m²): 45.7752 | Grav. Anomaly (mGal): -5.51281 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -104.545 | Solar Rad. (W/m²): 82.7313 | Grav. Anomaly (mGal): 7.17385 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -104.545 | Solar Rad. (W/m²): 82.7313 | Grav. Anomaly (mGal): 7.17385 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -57.9112 | Solar Rad. (W/m²): 82.7313 | Grav. Anomaly (mGal): 7.17385 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -31.7373 | Solar Rad. (W/m²): 82.7313 | Grav. Anomaly (mGal): 7.17385 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -31.7373 | Solar Rad. (W/m²): 82.7313 | Grav. Anomaly (mGal): 12.5151 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 12.0588 | Solar Rad. (W/m²): 82.7313 | Grav. Anomaly (mGal): 12.5151 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.0588 | Solar Rad. (W/m²): 102.19 | Grav. Anomaly (mGal): 12.5151 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.43465 | Solar Rad. (W/m²): 102.19 | Grav. Anomaly (mGal): 12.5151 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.43465 | Solar Rad. (W/m²): 102.19 | Grav. Anomaly (mGal): 22.7883 | ATCS Status: Off | Outside Operational Temp: No | Operational: Yes
Temp (°C): -16.2479 | Solar Rad. (W/m²): 102.19 | Grav. Anomaly (mGal): 22.7883 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -64.8241 | Solar Rad. (W/m²): 102.19 | Grav. Anomaly (mGal): 22.7883 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -64.8241 | Solar Rad. (W/m²): 81.4066 | Grav. Anomaly (mGal): 22.7883 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -64.8241 | Solar Rad. (W/m²): 81.4066 | Grav. Anomaly (mGal): 40.781 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -49.6176 | Solar Rad. (W/m²): 81.4066 | Grav. Anomaly (mGal): 40.781 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -62.6118 | Solar Rad. (W/m²): 81.4066 | Grav. Anomaly (mGal): 40.781 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -62.6118 | Solar Rad. (W/m²): 81.4066 | Grav. Anomaly (mGal): 46.6302 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -25.3941 | Solar Rad. (W/m²): 81.4066 | Grav. Anomaly (mGal): 46.6302 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -25.3941 | Solar Rad. (W/m²): 60.8765 | Grav. Anomaly (mGal): 46.6302 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -28.319 | Solar Rad. (W/m²): 60.8765 | Grav. Anomaly (mGal): 46.6302 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -28.319 | Solar Rad. (W/m²): 60.8765 | Grav. Anomaly (mGal): 53.7998 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -73.8757 | Solar Rad. (W/m²): 60.8765 | Grav. Anomaly (mGal): 53.7998 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -99.3305 | Solar Rad. (W/m²): 60.8765 | Grav. Anomaly (mGal): 53.7998 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -99.3305 | Solar Rad. (W/m²): 21.6398 | Grav. Anomaly (mGal): 70 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -99.3305 | Solar Rad. (W/m²): 21.6398 | Grav. Anomaly (mGal): 70 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -54.2986 | Solar Rad. (W/m²): 21.6398 | Grav. Anomaly (mGal): 70 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 8.67072 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 0 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.63332 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 19.3887 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.63332 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 19.3887 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.63332 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 19.3887 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.42241 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 19.3887 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.38416 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 12.0984 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.38416 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 12.0984 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.77078 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 12.0984 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.77078 | Solar Rad. (W/m²): 14.6723 | Grav. Anomaly (mGal): 12.0984 | ATCS Status: Off | Outside Operational Temp: No | Operational: No
Temp (°C): 4.77078 | Solar Rad. (W/m²): 14.6723 | Grav. Anomaly (mGal): 6.82563 | ATCS Status: Off | Outside Operational Temp: No | Operational: No
Temp (°C): 41.6372 | Solar Rad. (W/m²): 14.6723 | Grav. Anomaly (mGal): 6.82563 | ATCS Status: Off | Outside Operational Temp: Yes | Operational: No
Temp (°C): 6.45017 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): 0 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.9399 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -21.1078 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.9399 | Solar Rad. (W/m²): 0 | Grav. Anomaly (mGal): -21.1078 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.9399 | Solar Rad. (W/m²): 250.522 | Grav. Anomaly (mGal): -21.1078 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 11.2921 | Solar Rad. (W/m²): 250.522 | Grav. Anomaly (mGal): -21.1078 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.5877 | Solar Rad. (W/m²): 250.522 | Grav. Anomaly (mGal): -37.1823 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.5877 | Solar Rad. (W/m²): 250.522 | Grav. Anomaly (mGal): -37.1823 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.15187 | Solar Rad. (W/m²): 250.522 | Grav. Anomaly (mGal): -37.1823 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.15187 | Solar Rad. (W/m²): 278.418 | Grav. Anomaly (mGal): -37.1823 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.55164 | Solar Rad. (W/m²): 278.418 | Grav. Anomaly (mGal): -40.1055 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.55164 | Solar Rad. (W/m²): 278.418 | Grav. Anomaly (mGal): -40.1055 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.335891 | Solar Rad. (W/m²): 278.418 | Grav. Anomaly (mGal): -40.1055 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.15222 | Solar Rad. (W/m²): 278.418 | Grav. Anomaly (mGal): -55.3699 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.15222 | Solar Rad. (W/m²): 278.418 | Grav. Anomaly (mGal): -55.3699 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.15222 | Solar Rad. (W/m²): 234.603 | Grav. Anomaly (mGal): -55.3699 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.51825 | Solar Rad. (W/m²): 234.603 | Grav. Anomaly (mGal): -55.3699 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.51825 | Solar Rad. (W/m²): 234.603 | Grav. Anomaly (mGal): -54.0973 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.10827 | Solar Rad. (W/m²): 234.603 | Grav. Anomaly (mGal): -54.0973 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.62074 | Solar Rad. (W/m²): 234.603 | Grav. Anomaly (mGal): -54.0973 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.62074 | Solar Rad. (W/m²): 199.837 | Grav. Anomaly (mGal): -54.0973 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.62074 | Solar Rad. (W/m²): 199.837 | Grav. Anomaly (mGal): -68.2464 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 14.0856 | Solar Rad. (W/m²): 199.837 | Grav. Anomaly (mGal): -68.2464 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.77169 | Solar Rad. (W/m²): 199.837 | Grav. Anomaly (mGal): -68.2464 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.77169 | Solar Rad. (W/m²): 199.837 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.88339 | Solar Rad. (W/m²): 199.837 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.88339 | Solar Rad. (W/m²): 161.993 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.07175 | Solar Rad. (W/m²): 161.993 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 6.07175 | Solar Rad. (W/m²): 161.993 | Grav. Anomaly (mGal): -66.7651 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 0.69315 | Solar Rad. (W/m²): 161.993 | Grav. Anomaly (mGal): -66.7651 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.65808 | Solar Rad. (W/m²): 161.993 | Grav. Anomaly (mGal): -66.7651 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.65808 | Solar Rad. (W/m²): 176.201 | Grav. Anomaly (mGal): -66.7651 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.65808 | Solar Rad. (W/m²): 176.201 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.18356 | Solar Rad. (W/m²): 176.201 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.46474 | Solar Rad. (W/m²): 176.201 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.46474 | Solar Rad. (W/m²): 176.201 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.703186 | Solar Rad. (W/m²): 176.201 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -0.703186 | Solar Rad. (W/m²): 219.126 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.34583 | Solar Rad. (W/m²): 219.126 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.34583 | Solar Rad. (W/m²): 219.126 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.2793 | Solar Rad. (W/m²): 219.126 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.31322 | Solar Rad. (W/m²): 219.126 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.31322 | Solar Rad. (W/m²): 171.147 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.31322 | Solar Rad. (W/m²): 171.147 | Grav. Anomaly (mGal): -64.9043 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.83379 | Solar Rad. (W/m²): 171.147 | Grav. Anomaly (mGal): -64.9043 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.26453 | Solar Rad. (W/m²): 171.147 | Grav. Anomaly (mGal): -64.9043 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.26453 | Solar Rad. (W/m²): 171.147 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -5.64858 | Solar Rad. (W/m²): 171.147 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): -5.64858 | Solar Rad. (W/m²): 191.236 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: Yes | Operational: Yes
Temp (°C): 1.2369 | Solar Rad. (W/m²): 191.236 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.2369 | Solar Rad. (W/m²): 191.236 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.49485 | Solar Rad. (W/m²): 191.236 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.08401 | Solar Rad. (W/m²): 191.236 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.08401 | Solar Rad. (W/m²): 191.236 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.08401 | Solar Rad. (W/m²): 156.322 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.72608 | Solar Rad. (W/m²): 156.322 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.72608 | Solar Rad. (W/m²): 156.322 | Grav. Anomaly (mGal): -66.6891 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 13.2903 | Solar Rad. (W/m²): 156.322 | Grav. Anomaly (mGal): -66.6891 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.5098 | Solar Rad. (W/m²): 156.322 | Grav. Anomaly (mGal): -66.6891 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.5098 | Solar Rad. (W/m²): 119.491 | Grav. Anomaly (mGal): -66.6891 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 7.5098 | Solar Rad. (W/m²): 119.491 | Grav. Anomaly (mGal): -51.0167 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.98029 | Solar Rad. (W/m²): 119.491 | Grav. Anomaly (mGal): -51.0167 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 14.1247 | Solar Rad. (W/m²): 119.491 | Grav. Anomaly (mGal): -51.0167 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 14.1247 | Solar Rad. (W/m²): 119.491 | Grav. Anomaly (mGal): -67.322 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.6641 | Solar Rad. (W/m²): 119.491 | Grav. Anomaly (mGal): -67.322 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 12.6641 | Solar Rad. (W/m²): 105.111 | Grav. Anomaly (mGal): -67.322 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.95207 | Solar Rad. (W/m²): 105.111 | Grav. Anomaly (mGal): -67.322 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.95207 | Solar Rad. (W/m²): 105.111 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 11.6913 | Solar Rad. (W/m²): 105.111 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.5804 | Solar Rad. (W/m²): 105.111 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.5804 | Solar Rad. (W/m²): 112.015 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 10.5804 | Solar Rad. (W/m²): 112.015 | Grav. Anomaly (mGal): -54.5688 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 1.73647 | Solar Rad. (W/m²): 112.015 | Grav. Anomaly (mGal): -54.5688 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.93572 | Solar Rad. (W/m²): 112.015 | Grav. Anomaly (mGal): -54.5688 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 2.93572 | Solar Rad. (W/m²): 112.015 | Grav. Anomaly (mGal): -66.4054 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.36303 | Solar Rad. (W/m²): 112.015 | Grav. Anomaly (mGal): -66.4054 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.36303 | Solar Rad. (W/m²): 115.794 | Grav. Anomaly (mGal): -66.4054 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -2.36978 | Solar Rad. (W/m²): 115.794 | Grav. Anomaly (mGal): -66.4054 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -2.36978 | Solar Rad. (W/m²): 115.794 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.77628 | Solar Rad. (W/m²): 115.794 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.05571 | Solar Rad. (W/m²): 115.794 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.05571 | Solar Rad. (W/m²): 74.5253 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 5.05571 | Solar Rad. (W/m²): 74.5253 | Grav. Anomaly (mGal): -50.982 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -1.94049 | Solar Rad. (W/m²): 74.5253 | Grav. Anomaly (mGal): -50.982 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.1647 | Solar Rad. (W/m²): 74.5253 | Grav. Anomaly (mGal): -50.982 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 4.1647 | Solar Rad. (W/m²): 74.5253 | Grav. Anomaly (mGal): -61.6385 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.16076 | Solar Rad. (W/m²): 74.5253 | Grav. Anomaly (mGal): -61.6385 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 9.16076 | Solar Rad. (W/m²): 56.9363 | Grav. Anomaly (mGal): -61.6385 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.96777 | Solar Rad. (W/m²): 56.9363 | Grav. Anomaly (mGal): -61.6385 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 8.96777 | Solar Rad. (W/m²): 56.9363 | Grav. Anomaly (mGal): -57.6989 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): -2.51639 | Solar Rad. (W/m²): 56.9363 | Grav. Anomaly (mGal): -57.6989 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.317 | Solar Rad. (W/m²): 56.9363 | Grav. Anomaly (mGal): -57.6989 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.317 | Solar Rad. (W/m²): 7.17212 | Grav. Anomaly (mGal): -57.6989 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
Temp (°C): 3.317 | Solar Rad. (W/m²): 7.17212 | Grav. Anomaly (mGal): -70 | ATCS Status: On | Outside Operational Temp: No | Operational: Yes
